Burst,T_90S,T_90,T_50S,T_50,Phase,4ms Peak Flux,Fluence
081003377a^a,02:46.1,160 +or- 29,03:46.1,72 +or- 11,cdots,cdots,4.10E-08 +or- 5.00E-09
081003377b,03:06.0,276 +or- 53,03:06.0,120 +or- 25,cdots,cdots,1.34E-07 +or- 9.00E-09
081003377c^a,03:16.1,672 +or- 72,03:16.2,320 +or- 72,cdots,cdots,8.10E-08 +or- 9.00E-09
081003377d^a,03:33.2,68 +or- 25,03:33.2,28 +or- 11,cdots,cdots,6.50E-08 +or- 6.00E-09
081003377e^a,04:35.6,128 +or- 23,04:35.6,56 +or- 23,cdots,cdots,7.60E-08 +or- 7.00E-09
081003377f^a,04:55.5,424 +or- 72,04:05.5,120 +or- 18,cdots,cdots,1.31E-07 +or- 1.00E-08
081003377 g^a,05:03.5,64 +or- 23,05:03.5,24 +or- 18,cdots,cdots,4.50E-08 +or- 1.00E-08
081003377 h^a,05:03.9,104 +or- 34,05:03.9,56 +or- 11,cdots,cdots,3.60E-08 +or- 6.00E-09
081003377i^a,05:35.8,136 +or- 18,05:35.8,64 +or- 11,cdots,cdots,1.30E-08 +or- 1.00E-09
081003377j^a,cdots,cdots,cdots,cdots,cdots,cdots,2.30E-08 +or- 4.00E-09
081003385a,03:05.9,108 +or- 18,03:05.9,56 +or- 34,0.5551,1.61E-06 +or- 4.21E-07,5.40E-08 +or- 6.00E-09
081003385b^a,cdots,cdots,cdots,cdots,0.5163,4.69E-06 +or- 7.39E-07,1.27E-07 +or- 6.00E-09
081003446a,42:53.0,120 +or- 14,42:53.0,60 +or- 11,0.6058,3.63E-06 +or- 6.41E-07,1.73E-07 +or- 7.00E-09
081003779a,41:39.0,104 +or- 9,41:39.0,60 +or- 11,0.6635,5.25E-06 +or- 5.27E-07,1.50E-07 +or- 5.00E-09
081004050a,11:32.0,132 +or- 28,11:32.0,56 +or- 11,0.5523,3.74E-06 +or- 5.48E-07,1.30E-07 +or- 5.00E-09
081005020a,29:09.0,24 +or- 16,29:09.0,12 +or- 6,0.1377,4.21E-06 +or- 7.36E-07,3.80E-08 +or- 3.00E-09
081010537a,53:37.9,60 +or- 18,53:38.0,24 +or- 9,0.6426,2.30E-06 +or- 5.30E-07,5.00E-08 +or- 3.00E-09
090122037a,53:59.3,44$_{-6}^{+31}$,53:59.3,22$_{-4}^{+6}$,0.4915,2.40E-06 +or- 3.98E-07,3.74E-08 +or- 3.52E-09
090122037b^a,54:28.8,86$_{-30}^{+37}$,54:28.8,34$_{-4}^{+4}$,0.7016,4.53E-06 +or- 5.86E-07,1.01E-07 +or- 6.24E-09
090122037c^a,54:56.7,236$_{-34}^{+29}$,54:56.7,170$_{-16}^{+18}$,0.1757,8.88E-07 +or- 2.89E-07,6.96E-09 +or- 1.32E-09
090122037d^a,55:01.3,50$_{-10}^{+17}$,55:01.3,18$_{-2}^{+4}$,0.3842,9.50E-06 +or- 8.26E-07,2.15E-07 +or- 7.68E-09
